"by","TopicScore","UserStories"
"toddmotto",173,1
"harrisonp",118,1
"JDoty",23,1
"adamnemecek",16,2
"bceagle",16,1
"eskimobloood",12,1
"rvikmanis",8,1
"pyprism",8,1
"tilt",6,2
"tosh",4,2
"daw___",4,1
"hubertlepicki",3,1
"EugeneOZ",3,1
"Frinkahedron",2,1
"hashx",2,1
"mgonto",2,1
"mjhea0",2,1
"rsrobertson",1,1
"gsatyac",1,1
"alexanderb",1,1
