"by","TopicScore","UserStories"
"jipumarino",345,1
"route66",296,1
"adamnemecek",228,15
"sahat",223,2
"olouv",220,4
"tomdale",219,2
"sbarre",219,1
"jbdeboer",212,1
"mushishi",181,1
"toddmotto",173,1
"n8agrin",164,1
"tilt",155,39
"davidkellis",154,2
"LX-350",139,1
"bernardjhuang",125,1
"cleverjake",122,1
"Garbage",121,2
"harrisonp",118,1
"alexandros",117,3
"nreece",116,1
