by,TopicScore,UserStories
sfeng,994,1
vladikoff,222,1
yusw,189,1
nsmalch,175,1
cleverjake,133,3
robicch,125,4
mjhea0,123,10
getdavidhiggins,117,3
SEMW,100,1
digitalclubb,92,1
heyimjuani,81,1
dmritard96,78,1
lelf,74,1
uptown,73,1
ekpyrotic,71,4
kolodny,56,1
remotesynth,56,4
rcconf,52,1
bikeshack,49,1
kanakiyajay,46,2
