by,TopicScore,UserStories
steveklabnik,918,3
boynamedsue,378,1
bilalhusain,282,2
adamnemecek,246,2
dbaupp,229,1
sebcrozet,57,1
jonreem,24,1
hamidr,9,1
kmf,7,1
Aaron1011,4,1
swah,3,1
tracyma,3,1
jaredonline,2,1
todd8,2,1
mindcrime,2,1
Aloha,2,1
mitchmindtree,2,1
areski,2,1
pnkfelix,2,1
jokejs,1,1
