by,TopicScore,UserStories
yaliceme,64,1
arbesfeld,55,1
jmorgan,49,1
anandsatyan,24,1
BradRuderman,9,1
dan335,9,1
samhatoum,8,2
jaxonrice,4,1
arunoda,4,3
jvxtv,4,1
galfarragem,3,1
shenoyroopesh,3,1
adamelk,2,1
jbernardo95,2,1
victorleungtw,2,1
mrisse,1,1
saidur,1,1
griffinmb,1,1
grigio,1,1
hunvreus,1,1
