"id","by","kids","score","time","title","type","url","createdAt","updatedAt"
8395778,"jashkenas",NULL,6,1412181455,"React Apps Using Flux and Backbone: A How To","story","http://www.toptal.com/front-end/simple-data-flow-in-react-applications-using-flux-and-backbone","2014-10-23 05:30:31","2014-10-23 05:30:31"
8426946,"thegoodlab",NULL,1,1412777725,"Things I Learned from Building a Large Scale Backbone + Marionette Application","story","http://authenticff.com/journal/building-large-scale-backbone-marionette-applications","2014-10-23 05:30:31","2014-10-23 05:30:31"
8394614,"vanessmeyer",NULL,1,1412173995,"CRUD using Backbone.js and Drupal 8","story","http://blog.loadimpact.com/2014/09/30/first-steps-with-crud-using-backbone-js-and-drupal-8/","2014-10-23 05:30:31","2014-10-23 05:30:31"
