"by","TopicScore","UserStories"
"diggan",255,1
"Boriss",246,1
"sehr",235,1
"jmtulloss",94,1
"AaronM",22,1
"jamesgpearce",15,2
"makyol",13,1
"fka",12,6
"hngiszmo",10,2
"sahlhoff",9,1
"forty",7,1
"jashkenas",6,1
"adamnemecek",4,1
"Spoike",4,1
"ingve",3,1
"001sky",3,1
"MozMorris",3,1
"antihero",3,1
"Ashuu",3,1
"STRML",3,1
