"by","TopicScore","UserStories"
"yaph",64,1
"afshinmeh",58,1
"chris-at",50,1
"mglukhovsky",17,1
"adamnemecek",15,1
"tonyd256",14,2
"jeffbarr",11,1
"quantisan",6,1
"kkukavicic",6,1
"dpjanes",6,1
"avz",6,1
"imd23",5,1
"acapland",5,2
"coleifer",4,1
"coreymgilmore",4,1
"elia",4,1
"materik",3,2
"chrisgannon",3,1
"jamesmalvi",3,2
"sixQuarks",3,1
