"by","TopicScore","UserStories"
"sebg",555,52
"nekgrim",349,1
"bprs",170,1
"qrohlf",169,1
"y0ast",142,1
"runlevel1",136,1
"colinmegill",126,1
"alexandros",115,1
"zeroviscosity",97,2
"aficionado",96,1
"elsbree",93,1
"insraq",86,1
"oulipo",78,3
"hox",70,1
"tomdale",57,1
"luk3thomas",53,1
"foxbarrington",48,1
"m0hit",48,1
"diziet",21,1
"deliminated",20,2
