"by","TopicScore","UserStories"
"dlsym",810,2
"analogj",502,1
"johmas",462,1
"TTringas",434,1
"oellegaard",298,1
"jpallen",276,1
"rayshan",268,1
"franciscop",247,1
"uptown",219,2
"scotchio",210,2
"jalan",207,1
"aram",198,3
"Walkman",197,1
"emersonrsantos",192,1
"charlieirish",185,6
"DaveJn",166,4
"nickhould",164,2
"eflowers",158,1
"randall",154,1
"ThePhysicist",153,1
