by,TopicScore,UserStories
franciscop,247,1
Garbage,28,1
codegeek,18,1
DominoDataLab,10,1
nghuuphuoc,8,1
DaveJn,7,2
kuhnster,7,1
cgimmer,7,2
aaxe,6,1
disapproval,6,1
notastartup,6,1
olmo,6,1
scottmcquin,4,2
codingdog,3,1
josuegio,3,1
postwait,3,1
angelostudio,3,1
scotchio,3,1
nickhould,3,1
a-artur,2,1
