by,TopicScore,UserStories
david927,76,1
mrfusion,71,1
insin,69,1
reirob,39,1
tammer,38,1
Lai0chee,36,1
Cybershambles,23,1
grej,8,1
dinosaurs,3,1
gcanti,2,1
jonbaer,2,1
BIackSwan,2,1
pajtai,1,1
danabramov,1,1
PixelsCommander,1,1
michalkomar,1,1
