by,TopicScore,UserStories
rosser,292,1
bernardjhuang,125,1
shawndumas,120,2
akbarnama,96,1
JohnTHaller,88,1
dperalta,78,1
vsavkin,65,2
AlGal,55,1
jordwalke,54,1
catshirt,53,1
ben336,53,1
jashkenas,46,3
berzniz,22,7
mrjoelkemp,20,3
jsnk,16,1
maxmzd_,12,1
aith,12,1
ChrisWren,9,1
dce,9,1
gcanti,8,1
