"by","TopicScore","UserStories"
"tomdale",283,5
"dustingetz",149,1
"SingAlong",140,1
"hpvic03",126,1
"makepanic",121,3
"joachimhs",118,32
"nreece",116,1
"LukeHoersten",81,1
"wnm",74,1
"elie_CH",73,1
"cavneb",58,1
"zvikara",51,1
"shawndumas",39,11
"davidkellis",39,1
"adamnemecek",39,23
"mayop100",38,1
"machty",37,3
"MrMcDowall",36,3
"wycats",31,1
"denisnazarov",24,1
