by,TopicScore,UserStories
chris-at,50,1
adamnemecek,15,1
jeffbarr,11,1
quantisan,6,1
coreymgilmore,4,1
elia,4,1
skiskilo,3,1
chrisgannon,3,1
d2p,3,1
brylie,2,1
jamesmalvi,2,1
liquid_x,1,1
materik,1,1
TomStrickland,1,1
