by,TopicScore,UserStories
yusw,189,1
getdavidhiggins,115,1
heyimjuani,81,1
dmritard96,78,1
CodeGeekz,21,5
bitwalker,10,1
bomatson,9,1
thekenwheeler,9,1
anto210,7,1
rnyman,6,2
geoffb,6,1
JeroenRansijn,6,3
symlinkk,6,1
vsidamon,6,1
robin_reala,5,1
xiunhao888,5,1
bevacqua,4,2
bpierre,4,1
skrez,2,1
instakill,2,1
