by,TopicScore,UserStories
finspin,220,1
spolu,142,1
calebm,86,1
geetarista,40,1
tilt,39,2
kertof,32,1
codecondo,16,5
jguerrero,13,2
gergelyke,13,2
sebst,12,1
brikis98,12,1
omko,12,1
mglukhovsky,11,1
whoshallsucceed,10,2
brendangregg,10,1
jedireza,9,1
czarlos,7,1
murada,7,1
FredericJ,6,1
majidarif,6,2
