"by","TopicScore","UserStories"
"steveklabnik",2408,40
"adamnemecek",1088,32
"dbaupp",1012,16
"bilalhusain",603,5
"pohl",538,8
"cmrx64",518,9
"kibwen",462,2
"boynamedsue",378,1
"porada",344,1
"doppp",298,1
"valarauca1",282,4
"AndrewDucker",250,5
"aabelha",244,1
"veeti",207,1
"mitchmindtree",203,2
"getbreadbox",199,1
"chrismorgan",183,5
"jvns",158,3
"lifthrasiir",150,1
"sanxiyn",146,1
