by,TopicScore,UserStories
arbesfeld,55,1
BradRuderman,9,1
samhatoum,5,1
galfarragem,3,1
adamelk,2,1
jbernardo95,2,1
timbrandin,1,1
arunoda,1,1
griffinmb,1,1
grigio,1,1
