"by","TopicScore","UserStories"
"adamnemecek",482,2
"yaph",64,1
"afshinmeh",58,1
"chris-at",50,1
"mikeyk",39,1
"mglukhovsky",17,1
"zackbrown",14,1
"tonyd256",14,2
"jeffbarr",11,1
"gcanti",8,2
"smizell",6,2
"quantisan",6,1
"kkukavicic",6,1
"avz",6,1
"dpjanes",6,1
"imd23",5,1
"acapland",5,2
"oweiler",5,1
"boristhespider",5,1
"elia",4,1
