by,TopicScore,UserStories
btmills,466,1
beltex,357,1
jguerrero,311,27
binarymax,286,1
vecio,285,1
sahat,282,3
sintaxi,235,1
ambuj,232,1
finspin,220,1
ranman,189,1
there4,163,1
darsee,159,3
jjallen,154,1
feross,151,1
tilt,148,12
linhmtran168,144,1
spolu,142,1
ageitgey,140,3
jeresig,130,1
fcambus,112,1
