"by","TopicScore","UserStories"
"toddmotto",173,1
"davidkellis",154,2
"harrisonp",118,1
"JDoty",23,1
"bceagle",16,1
"adamnemecek",16,2
"eskimobloood",12,1
"petercooper",10,1
"pyprism",8,1
"rvikmanis",8,1
"pastagami",7,1
"murada",7,1
"tilt",6,2
"mgonto",5,3
"Backand",4,3
"berzniz",4,1
"daw___",4,1
"tosh",4,2
"zvanness",4,1
"Graham42x",3,2
