"by","TopicScore","UserStories"
"omko",12,1
"mglukhovsky",11,1
"jguerrero",8,1
"hallas",4,1
"coding4all",3,1
"edwellbrook",3,1
"tilt",3,1
"mzehrer",2,1
"NicoJuicy",2,1
"pylinux",1,1
"robertcorey",1,1
"grigio",1,1
"gsatyac",1,1
"mirekrusin",1,1
