by,TopicScore,UserStories
zenogais,63,1
giaour,45,2
jraedisch,14,1
unix-junkie,10,1
kennybastani,6,1
alabid,4,1
tilt,3,1
arkham,3,1
webista,2,1
arunoda,2,1
dsr12,2,1
orkj,2,1
rbanffy,2,1
gdltec,1,1
TomStrickland,1,1
alvises,1,1
grigio,1,1
jturolla,1,1
bhw_brett,1,1
claytonhimself,1,1
