by,TopicScore,UserStories
morphics,466,1
slackpad,348,1
robin_reala,333,3
sciwiz,259,1
itamarb,238,1
rnyman,225,3
ot,190,1
wildpeaks,139,2
daredevildave,128,2
glasshead969,107,1
wheatBread,101,1
uptown,98,1
sxp,90,1
martimoose,83,1
phoboslab,67,2
jseip,63,1
devongovett,62,1
dionyziz,62,1
daenz,57,1
askmike,53,1
