"by","TopicScore","UserStories"
"hyperpape",558,1
"lest",342,1
"throwawayeau",339,1
"francesca",189,3
"steveklabnik",186,1
"luu",171,1
"liz_mongohq",119,16
"davvid",118,1
"jeremiahjordan",114,1
"audreyt",109,1
"cirwin",97,2
"turrini",92,1
"mrkurt",81,8
"james33",68,1
"islon",68,1
"skjhn",68,4
"technel",67,1
"naryad",65,1
"zenogais",63,1
"zardosht",57,2
