by,TopicScore,UserStories
stonys,92,1
remotesynth,17,2
burke_holland,7,5
peterkchen,6,1
chuckcatron,6,6
codecondo,5,1
ds206,5,1
lowglow,4,1
rdlauer,3,1
dustingetz,2,1
theoh,2,1
cmulligan,2,1
ifandelse,1,1
BusterG,1,1
wslh,1,1
