by,TopicScore,UserStories
sgdesign,276,16
joshowens,247,1
bevenky,224,1
debergalis,204,6
arunoda,183,38
waitingkuo,156,3
jmorgan,144,2
yaliceme,127,6
avital,110,2
dturnbull,89,2
tmetzner,78,1
karlcoelho1,77,1
shankysingh,70,1
rekatz,65,1
Mandar,61,1
dan335,55,4
arbesfeld,55,1
ashwin_kumar,50,1
perlmonkey,49,1
tmeasday,43,2
