by,TopicScore,UserStories
_pius,407,1
joombar,361,1
dustingetz,309,5
xngzng,283,16
trevoragilbert,262,1
spicyj,248,4
julien,233,1
mercer,213,1
mpereira,202,2
tipex,191,1
mblakele,176,1
peterhunt,167,4
harrisonweber,159,2
ch_123,157,1
michaelbjames,147,1
vjeux,146,2
givan,141,1
adamnemecek,124,3
bslatkin,123,1
kaishiro,122,1
