by,TopicScore,UserStories
michaelbjames,147,1
dustingetz,136,1
kaishiro,122,1
xngzng,118,8
akbarnama,96,1
tosh,84,4
lkrubner,78,1
david927,76,1
mrfusion,71,1
insin,69,1
reirob,39,1
tammer,38,1
kylehudson,37,1
Lai0chee,36,1
Cybershambles,23,1
danabramov,13,2
shripadk,11,1
adamw1pl,10,1
ImtiazMajeed,10,1
emilyn,9,1
