by,TopicScore,UserStories
akbarnama,96,1
themistersuit,7,1
jashkenas,6,1
mpereira,2,1
overbored,2,1
dennismonsewicz,1,1
thegoodlab,1,1
tilt,1,1
vanessmeyer,1,1
bengrunfeld,1,1
