by,TopicScore,UserStories
haxiomic,27,1
nergal,12,1
daredevildave,11,1
washedup,9,1
flohofwoe,7,1
GauthierD,6,1
zabast,5,1
pheelicks,4,1
WestCoastJustin,4,1
addisonj,4,1
apexskier,4,1
Mehuleo,4,1
gren,3,1
hackerews,3,1
xiunhao888,3,1
jhedwards,3,1
bpierre,3,1
ndesaulniers,3,1
showwebgl,2,1
api,2,1
